,0
4926,UK debt is higher under the Tories than under Labour. Did Ed Miliband mention that? #bbcqt
4927,"RT @ShippersUnbound: As reflected here, after six weeks of edging there, Miliband has now backed Jim Murphy's stance on SNP https://t.co/Ji…"
4928,RT @HTScotPol: Good grief. Ed Miliband hands SNP massive gift on #bbcqt by saying he'd rather Tories ran country than do a deal with #SNP
4929,@LucioFulciFan SNP will have to work with a Conservative Government. Good luck with that :-)
4930,"RT @LordAshcroft: YouGov/Sun poll CON 34%, LAB 35%, LDEM 8%, UKIP 12%, GRNS 5%"
4931,Ask Nigel Farage here we go
4932,"RT @UkipaLotMoreIan: Ask Nigel Farage just starting on BBC1
#VoteUKIP #UKIP #GE2015"
4933,@UKIP #AskNigelFarage #bbcqt @Nigel_Farage @DavidCoburnUKip Why you not paying Scotland a visit Nigel ?
4934,RT @MattHancock2015: Safe to say EdM’s weak performance showed he’s too weak to stand up to SNP. Truth is British people would pay price ht…
4935,"RT @shocker38: There has been a murder, Ed Miliband has just shot and killed labour in Scotland, poor Murphy never saw it coming. #bbcqt"
4936,"RT @carlmaxim: REMINDER: Absolutely no jokes about Nigel Farage or he will report you to the police.
#AskNigelFarage #bbcqt"
4937,"RT @LabourEoin: Big lie from David Cameron. There are 186,000 fewer Home Owner occupiers than when he became Prime Minister #BBCqt http://t…"
4938,RT @ScottyC1314: Miliband's confirmation that he wont work with SNP hands power to the Tories for another 5 years...&amp; with that Labour in S…
4939,@TheLastLeg #isitok to ask whether Nicola Sturgeon is a genie? #only3questions #askformoney
4940,RT @JimmyL1912: Nicola sturgeon talking about child poverty in Scotland at a five star hotel and flying about in her own private helicopter…
4941,RT @paulwaugh: And here's that Miliband Moment #stumblebrag https://t.co/68sBLDNIui
4942,"RT @thomasmessenger: For all Tories claiming that Labour overspent and thus caused a global financial crisis, ahem... http://t.co/DkLwCwzhDA"
4943,"EVERYONE
LABOUR AND TORY ARE THE SAME.
SAME PARTY
PRO UK.
They dont care WHAT the Scots want
As long as the oil/gas money keeps going South"
4944,"The majority of Scots voted Labour last time round and still got a Tory government. 
Why is this such a Fkn head scratcher for Milliband??"
4945,Twitter about to go into meltdown Nigel Farage in Birmingham
4946,"@ItsSpectrum @UKIP yeah, ask everyone you know if they want one. DM me ur address?"
4947,"RT @SNPOut: .@Ed_Miliband thank you from everyone at #SNPOut 😃 A vote for the SNP is now a wasted vote, well done #Scotland #GE2015 keep #S…"
4948,"RT @NicolaSturgeon: If Miliband is going to let Tories in rather than work with SNP, we will definitely need lots of SNP MPs to protect Sco…"
4949,"RT @NicolaSturgeon: If Miliband is going to let Tories in rather than work with SNP, we will definitely need lots of SNP MPs to protect Sco…"
4950,RT @BBCJamesCook: SNP leader @NicolaSturgeon - Scotland would never forgive Labour for preferring a Tory govt to a deal with the SNP. http:…
4951,"RT @Tommy_Colc: Financial Times come out in support of Tories claiming Miliband is ""preoccupied w/ inequality"". The man who wrote it http:/…"
4952,"RT @IanDunt: It's too late to save him, but Nick Clegg won tonight's #bbcqt debate http://t.co/1deGHLVJcm http://t.co/KJyAGvstBM"
4953,"RT @LabourEoin: In a 28 minute interview tonight, David Cameron told 24 lies... I'll write up a list of them but you can scroll my tweets f…"
4954,"RT @LabourEoin: In a 28 minute interview tonight, David Cameron told 24 lies... I'll write up a list of them but you can scroll my tweets f…"
4955,"RT @roryjiwani: Bloody hell, Tories still going on about the ""no money"" letter. IT WAS A JOKE. James Callaghan got similar from a Tory in 1…"
4956,"@sheffhighpolpol unless you're the lib dems, SNP or UKIP etc."
4957,"RT @MichaelH14: You know, the question shouldn't have been about Liam Byrne's note - it should've been why has David Cameron borrowed £500b…"
4958,RT @carrieapples: This sums up exactly why Ed Miliband lost tonight and must not win next Thursday #bbcqt http://t.co/2Y3iBuRTff
4959,@Kev_Cartwright @michaelturner  I care passionately. I care about Plymouth and know what Tories have done in 5 yrs seen it first hand.
4960,"RT @twcuddleston: David Cameron: money, money, money
Ed Miliband: people, people, people
Nigel Farage: immigrants, immigrants, immigrants
#…"
4961,RT @comeandjoinus45: @ScotsGamerGeek @flyingdavy @AlanBrownSNP Sure looks likely as the SNP are 1/8 favourite in Kilmarnock.( W.Hill )
4962,RT @Nigel_Farage: Tonight you saw that they're all the same. Only #ukip offers positive change. Please consider helping us out: https://t.c…
4963,RT @davidschneider: A reminder of how the Tories hope we'll behave on election day. http://t.co/fVOSTrZM9r
4964,"@MartineBBC You say Miliband ""stumbled"". Ignorant tripe. He didn't apologise for spending levels Tories agreed to http://t.co/r0pftrV4UN"
4965,"RT @Tommy_Colc: Financial Times come out in support of Tories claiming Miliband is ""preoccupied w/ inequality"". The man who wrote it http:/…"
4966,RT @LabourEoin: Gosh!   Ed Miliband absolutely thumped David Cameron on the twitter worm tonight.... #BBcqt http://t.co/esCy0c5mxO
4967,"RT @britainelects: Latest YouGov poll (29 - 30 Apr):
LAB - 35% (+1)
CON - 34% (-1)
UKIP - 12% (-)
LDEM - 8% (-1) 
GRN - 5% (+1)"
4968,"RT @billbanjos: Ed Miliband, in the #leadersdebate has signed #slab's death warrant by denying Scotland its democratic right in electing #S…"
4969,Nigel farage looks like you could unzip his body and look inside at his lizard like skin
4970,RT @RichardLochhead: Wow! Did he really say this? So now both #Cameron &amp; #Miliband written off Scotland then? #GE2015 #VoteSNP
4971,@Rosmoffat @StewartHosieSNP @strathearnrose @theSNP Lab minority gov = no deals needed. Would SNP bring down labour gov again? #SNPout
4972,RT @LabourEoin: Wow. Tory MPs can read each others' minds and type and the exact same time................ #BBCqt http://t.co/23BjfFTczb
4973,RT @Chanctonman: But it suits Tories to lie about it https://t.co/JL7kFNObhK
4974,"@crazylegsjoe and yet to keep the Tories out, all they have to do is get their head removed from their hole, respect the scots and deal"
4975,"RT @HandofGOD7: #Miliband getting ""tough"" on immigration. After @UKLabour spent 13 years printing ""how to claim your benefits"" in 174 diffe…"
4976,"RT @ruaidhri_seamus: @Ed_Miliband says ""no deal with SNP"" so after all #Labour spin that voting #Greens ""lets Tories in"", it turns out voti…"
4977,Why? What would the SNP do in response to no offer? Vote to let the Tories in? @hamstaman @jsteve372 @severincarrell
4978,nigel farage in birmingham hahaha i should have signed up for this
4979,RT @LabourEoin: Gosh!   Ed Miliband absolutely thumped David Cameron on the twitter worm tonight.... #BBcqt http://t.co/esCy0c5mxO
4980,RT @labourpress: We learnt the most from the question David Cameron wouldn't answer tonight: clear now the Tories will cut Child Benefit #b…
4981,Prediction: first question 'is @ukip a racist party?'
4982,"RT @patel4witham: #BBCQT a clear win for David Cameron tonight. Vote for clear, strong leadership on May 7. #VoteConservative"
4983,"RT @BBCNews: Friday's Times: ""Miliband savaged for 'lies' over spending"" http://t.co/hfYN9MxYQQ #BBCPapers #tomorrowspaperstoday (via @sutt…"
4984,@JamesVonDoom UKiP will get 1-3 seats max. More likely to be DUP
4985,"RT @LordAshcroft: YouGov/Sun poll CON 34%, LAB 35%, LDEM 8%, UKIP 12%, GRNS 5%"
4986,@yellapiss I'm interested in politics and history so I'm intrigued that someone with such an obviously foreign surname would support UKIP
4987,Election 2015 Ask Nigel Farage on BBC One now.
4988,RT @ASairFecht: Confirmed by @Ed_Miliband Labour would prefer Tory Govt to working with SNP. Scotland - it's over to you. Vote accordingly.
4989,RT @TelePolitics: BBC Question Time: Ed Miliband savaged over his economic record http://t.co/cToppiRYPI
4990,"@FraserNelson @ssaxim The chart shows that the largest sustained deficits occurred during Tory administrations, not Labour ones."
4991,"RT @OwenJones84: David Cameron *refuses* to rule out cutting child benefit. When we all march into the polling booths next week, let’s reme…"
4992,"RT @thomasmessenger: For all Tories claiming that Labour overspent and thus caused a global financial crisis, ahem... http://t.co/DkLwCwzhDA"
4993,RT @ruth_wishart: Home from a busy Hustings to catch up on leaders'debate. Did Miliband REALLY imply he'd rather have DC as PM than talk to…
4994,"RT @Tommy_Colc: Financial Times come out in support of Tories claiming Miliband is ""preoccupied w/ inequality"". The man who wrote it http:/…"
4995,"@chunkymark @4joturner @Ed_Miliband if tories get back in because Ed refuses to work with SNP, Plaid n greens then ppl wont forgive him"
4996,RT @RichardLochhead: Wow! Did he really say this? So now both #Cameron &amp; #Miliband written off Scotland then? #GE2015 #VoteSNP
4997,RT @thoughtland: EdM welcomes Tory govt over an anti-austerity/end Trident deal w/ SNP. It's pre-Thurs blah. Still brutal to hear.  https:/…
4998,"RT @thomasmessenger: For all Tories claiming that Labour overspent and thus caused a global financial crisis, ahem... http://t.co/DkLwCwzhDA"
4999,RT @IrvineWelsh: So Lab mantra all will be well if we 'get the Tories out' now 'but we don't want them out badly enough to work with a cent…
5000,David Cameron domine le dernier débat de la campagne électorale britannique http://t.co/PQGVn0l8l7  #Sport http://t.co/J0BqrLgqxX
5001,RT @reubenspal: So Ed Miliband would rather see a Tory government than allow the people of Scotland their democratic rights Over to you Mr …
5002,"RT @NicolaSturgeon: If Miliband is going to let Tories in rather than work with SNP, we will definitely need lots of SNP MPs to protect Sco…"
5003,"I think TVs need a setting for truth subtitles, especially during David Cameron's speeches. #ELECTION2015"
5004,RT @STVNews: Sturgeon: 'It sounded as if Miliband was saying he'd rather see David Cameron back in power than work with the SNP.' http://t.…
5005,"RT @LordAshcroft: YouGov/Sun poll CON 34%, LAB 35%, LDEM 8%, UKIP 12%, GRNS 5%"
5006,RT @MartinMcArthur: Ed Milliband had the most diffcult questions on the nite but stood his ground &amp; answered strongly while cameron dodged …
5007,"Douglas Carswell when pressed won't describe #Farage as being 'upbeat, visionary' 

#theagenda"
5008,"RT @Tommy_Colc: Financial Times come out in support of Tories claiming Miliband is ""preoccupied w/ inequality"". The man who wrote it http:/…"
5009,@woodside2010 @Nigel_Farage @UKIP whos talking about racist you bafoon
5010,"@pronterjools as in no one trusts a politician or what they falsely promise. Hold on, ask Nigel Farage has come on...."
5011,"RT @VintageViolet_: Says a lot that Ed Miliband would rather see a Tory in No10 than himself, when all he'd have to do is work with the SNP…"
5012,"RT @NicolaSturgeon: If Miliband is going to let Tories in rather than work with SNP, we will definitely need lots of SNP MPs to protect Sco…"
5013,The Rochester and Strood #UKIP campaign so far http://t.co/ScQxlUrMFS
5014,"RT @Tommy_Colc: FT come out in support of Tories claiming Miliband is ""preoccupied w/ inequality"". The man who wrote it @sturdyAlex http://…"
5015,"Someone in work, asked for the #Sturgeon haircut in the hairdressers @TheLastLeg btw I'm from South Wales. #SNP"
5016,Here we go. Nigel Farage's own #bbcqt tonight. Go on Nigel. #AskNigelFarage #TeamNigel
5017,RT @edballsmp: Tonight confirmed it: David Cameron and the Tories will cut child benefit if they win next week #bbcqt http://t.co/IHePV7fFLJ
5018,"""a quarter of the audience are backing ukip"" *cut to young lad with cropped hair and braces*"
5019,"RT @tycoonalan: Get in, loser, we're going to Westminster @NicolaSturgeon #SNP #SNPbecause #asknicola http://t.co/2WLuPOhCzE"
5020,Dick. https://t.co/wHBndlwnUh
5021,"RT @thomasmessenger: For all Tories claiming that Labour overspent and thus caused a global financial crisis, ahem... http://t.co/DkLwCwzhDA"
5022,RT @DickMackintosh: Nick Robinson talking out of his arse on #BBCNews as usual ... nasty little Tory shite ...
5023,"RT @NicolaSturgeon: If Miliband is going to let Tories in rather than work with SNP, we will definitely need lots of SNP MPs to protect Sco…"
5024,Nigel Farage is so good
5025,RT @TimGatt: BREAKING Culprit responsible for Ed Miliband slipping off stage comes forward... #SunNation http://t.co/1q7DdsQU4l
5026,Milliband would rather none of his policies implement in favour of Tories implementing theirs. Why? ESSNNPP BAD! what a crock of crap #bbcqt
5027,Only #Labour will tackle the scandal of zero hour contracts; not the Tories who condone them. #VoteLabour next week! http://t.co/cTHM6kv1ga
5028,"RT @The45Storm: RT THE HELL OUT OF THIS 

Here is Ed Miliband handing the GE to the Tories 
#labourdoorstep 
http://t.co/CwNfyco1Mf http://…"
5029,RT @edballsmp: Tonight confirmed it: David Cameron and the Tories will cut child benefit if they win next week #bbcqt http://t.co/IHePV7fFLJ
5030,Nigel Farage is one slimy fucker
5031,im gunna watch this nigel farage thing
5032,"RT @NicolaSturgeon: If Miliband is going to let Tories in rather than work with SNP, we will definitely need lots of SNP MPs to protect Sco…"
5033,"@YesAlliance59 @BjCruickshank exactly, but he had no choice. UKIP &amp; Tories were killing him on doing deal with SNP. What he said means nowt!"
5034,@NotAProudScot @LenLetaylor At least you have the SNP. Think of us in the North of England!
5035,"RT @EtonOldBoys: Two Tories talking at the bar in a country club, One says I'm a Country Member, the other one says , yes I remember"
5036,@anonymousspine @meljomur Would end his career stepping aside for the Tories.
5037,2/2 Whereas Cameron &amp; Clegg look like if Madame Tussaud's made automatons.
5038,RT @StewartHosieSNP: @theSNP want to lock the Tories out of power. Why is Miliband threatening to allow Cameron back into Downing Street?  …
5039,RT @bellacaledonia: Labour are like one of those awful survival stories of crashed airplanes in the wilderness. Miliband just made Murphy p…
5040,farage wears nothing but pin stripe suits...how does he get air time
5041,RT @bernerlap: .@HackneyAbbott clearly doesn't care about those who died in the Mid Staffs scandal http://t.co/dKWrhF6vzG
5042,"RT @billbanjos: Ed Miliband, in the #leadersdebate has signed #slab's death warrant by denying Scotland its democratic right in electing #S…"
5043,"RT @DisabledScot: @blairmcdougall @ScotlandTonight @bbcqt If Ed thinks Scots will suddenly rush to vote Labour, we'll vote SNP, Labour just…"
5044,RT @arennie44: #Miliband leaving no wiggle room to manage a working government in WM with SNP - Once again rubbishing the idea of a Scottis…
5045,Nigel Farage in Birmingham... This should be funny #idiot
5046,"RT @FraserNelson: So no wonder #bbcqt audience bridled when Miliband did not accept that Labour vastly overspent, leading to depth of today…"
5047,"@MartinSLewis agree, the only 'human' leader with moral purpose.  Nick Clegg no longer viable as a leader despite moral intent."
5048,RT @FakeGlennMiller: @AngrySalmond If there wasn't demand for a second #indyref there will be after Milliband's car crash performance tonig…
5049,RT @_Liam_Walker_: Ed Miliband had a car crash tonight on @bbcquestiontime Then again we should be used to Labour car crashes.... #bbcqt ht…
5050,"RT @Tommy_Colc: FT come out in support of Tories claiming Miliband is ""preoccupied w/ inequality"". The man who wrote it @sturdyAlex http://…"
5051,"RT @BillWilliams01: Tonight's You Gov Poll: 
Labour move ahead

LAB - 35% (+1)
CON - 34% (-1)
UKIP - 12% (-)
LDEM - 8% (-1) 
GRN - 5% (+1)
…"
5052,"#UKIP are great at disseminating mythinformation, it's their favorite tactic. Who cares if it's not true so long as ppl believe it #GE2015"
5053,RT @jakimccarthy: 'Project Fear'? Danny Alexander says Scots are terrified by the rise of the #SNP Aye Maybe you Danny #voteSnp #GE2015 htt…
5054,I like that Farage gets his own show. http://t.co/VkKroDfOyo
5055,RT @MiriamBrett: Did the leader of The Labour Party just opt for a Tory Government over alliances with anti austerity parties? I might cry.
5056,Farage just trashed her 😂
5057,It's the 'Farage' in Birmingham - we don't want him #AskNigelFarage
5058,RT @deilsheid: So now Scotland knows the truth about Labour. Miliband prefers 5 more years of Tory austerity &amp; rule than to acknowledge our…
5059,@summers123456 @UKIP BVO bbz
5060,#newsnight Basically #Miliband won QT hands down. #Cameron was as slimy as ever.
5061,A quarter of the audience support UKIP. Hardly an accurate representation of the public #bbcqt
5062,RT @beaubeau888: #bbcqt Apparently Miliband slipped on Cameron's sweat.
5063,Funny that @Nigel_Farage is answering questions from Birmingham...I thought it was a 'no-go zone'? #GE2015 #UKIP
5064,"RT @_chrisUK: @JimForScotland Sturgeon was clear. She wants Miliband as PM but doesn't want a minority government. Answer clear, vote @scot…"
5065,@Spedicious @FraserNelson Haha... honestly Miliband lost my vote over Syria... done lots of work on civil war. Was terrible decision
5066,RT @_Normina_: Many fabulous #SNPbecause tweets; &amp; it's trending at number 1 in Edinburgh!! Vote #SNP... In Livingston vote @HannahB4LiviMP…
5067,RT @_Normina_: Many fabulous #SNPbecause tweets; &amp; it's trending at number 1 in Edinburgh!! Vote #SNP... In Livingston vote @HannahB4LiviMP…
5068,"RT @dagwells: People of Scotland you heard him, he'd rather give you another 5 years of Tories than work with you. wipe his party out. #bbc…"
5069,"RT @Barnabyspeak: Ever noticed the pushy, aggressive, opinionated, overbearing, uncaring, rude, nasty bastards often turn out to be Tories?"
5070,RT @_Normina_: Many fabulous #SNPbecause tweets; &amp; it's trending at number 1 in Edinburgh!! Vote #SNP... In Livingston vote @HannahB4LiviMP…
5071,RT @OwenJones84: David Cameron says he “doesn’t want to” cut child benefit and tax credit. What does that mean? He blatantly will #bbcqt
5072,"#lastleg

Ed Miliband needs to just give up politics and go be an extra in Wallace &amp; Gromit"
5073,"RT @NicolaSturgeon: If Miliband is going to let Tories in rather than work with SNP, we will definitely need lots of SNP MPs to protect Sco…"
5074,@2015election BBC and news reporters are shafting the people by not giving Nigel Farage a spot in the audience questioning programme.
5075,RT @rog_ukip: Election 2015 Ask Nigel Farage on BBC One now.
5076,"RT @wee_things: Ed Milliband is right. If we dont get full majority then we wont compromise &amp; make deals. Yes we really are that arrogant
#…"
5077,"Farage's napper.
Absolutely porno - I'm about to turn off after 30 seconds"
5078,@SolManOfficial @Ed_Miliband tories added 500bn to national debt.
5079,@AlexCartwrightO @Redrho70 @rich_falconer @JimForScotland Tories got in last time despite 41 Scot Lab MPs !!!! We need proper reps at WM.
5080,RT @BBCJamesCook: SNP leader @NicolaSturgeon - Scotland would never forgive Labour for preferring a Tory govt to a deal with the SNP. http:…
5081,"@carlgardner @chuzzlit Yes, I wondered in our earlier exchange! Your point on the SNP has been adopted by Miliband. Credit to you for that."
5082,"Just as @JimForScotland and Labour would rather see the Tories in Westminster than the SNP. 
So would I."
5083,"RT @traquir: 2010 @scottishlabour fed Scotland to Tories rather than speak to #SNP
https://t.co/zYJ6LsnzZG
2015 Threaten same
http://t.co/y…"
5084,"RT @BillOddie: If wildlife had the vote TORIES wouldn't even exist. We need nature, nature needs us. Get rid of this government. Please."
5085,RT @wefail: Hitler's Downfall is on BBC Four but if you want to watch a racist psychopath with horrific ideas on nationalism Nigel Farage i…
5086,Big Farage in the house. #AskNigelFarage
5087,"RT @SkyNews: ""I want to be the first politician to under-promise &amp; over-deliver, not over-promise &amp; under-deliver"" - Ed Miliband http://t.c…"
5088,"RT @costofcameron: #snp voters If you don't want the #tories back in power in Westminister, #VoteLabour http://t.co/HxMtaHApBB"
5089,"RT @unionstogether: Labour didn't cause the crash. Not Ed Miliband saying that, the former Governor of the Bank of England #bbcqt http://t.…"
5090,"RT @GracieSamuels: #bbcqt The banker in the audience accusing ed Miliband of lying beggars belief, it was HIM and His greedy Tory bankers c…"
5091,Is it fm or has Farage done a U Turn already saying he loves Europe? #AskNigelFarage
5092,"RT @GiuseppeDalPra: Labour-SNP coalition would actually save Union - discredit SNP outsider status, ensure Scotland is listened to, keep re…"
5093,RT @imajsaclaimant: Nigel Farage gets his own TV programme. What a farce that is! #AskNigelFarage
5094,"RT @larbertred: .@Ed_Miliband I'm not an SNP supporter, but I find your stance over them is nothing short of political blackmail and shows …"
5095,@UndebPlaidCymru @UKLabour @labourpress @Ed_Miliband what do you think sturgeon would want ?
5096,"RT @BBCNews: Friday's Telegraph: ""Miliband stumbles over his spending record"" http://t.co/BiiXuUK4hI #BBCPapers #tomorrowspaperstoday (via …"
5097,"RT @IndyForTheGuy: ""Vote for me or I will go in such a huff. And while I sulk, the tories will get back in, &amp; then you'll be sorry!"" http:/…"
5098,@montie @PeterMannionMP you've never heard of minority Gov't ? Up to SNP if they wish to bring a Lab minority Gov't...
5099,"RT @Tommy_Colc: Financial Times come out in support of Tories claiming Miliband is ""preoccupied w/ inequality"". The man who wrote it http:/…"
5100,RT @LabourEoin: Gosh!   Ed Miliband absolutely thumped David Cameron on the twitter worm tonight.... #BBcqt http://t.co/esCy0c5mxO
5101,There is no way an 'Ask Nigel Farage' in Birmingham can go any type of well #plsdontvoteUKIP
5102,Watching this Farage Question Time purely for the comedy value of Farage
5103,"RT @Ed_Miliband: Working families can't afford five more years of the Tories, but in seven days time people can vote Labour to put working …"
5104,"RT @GuidoFawkes: Audience:

""Do you accept that when Labour was in government it overspent?""

Miliband:

""No I don't""

There you have it fo…"
5105,"RT @thomasmessenger: For all Tories claiming that Labour overspent and thus caused a global financial crisis, ahem... http://t.co/DkLwCwzhDA"
5106,@blairmcdougall did you see the no voter who quite likes snp policies how do you think she feels about union with that sort of rhetoric?
5107,"RT @thomasmessenger: For all Tories claiming that Labour overspent and thus caused a global financial crisis, ahem... http://t.co/DkLwCwzhDA"
5108,@tattybats I don't think UKIP will oust Caroline Dineage but I think he may come second
5109,"@BBCNews @BBCPolitics Miliband stumbled over LAST Labour govt's spending record - virtually all Q's. Nothing on housing, environment, jobs."
5110,I'm #SNPbecause #Westmonster doesn't listen doesn't care and lines their own pockets #knighthoods #timeforchange #GE2015 #SNP
5111,Nigel Farage seems to think that Europe is Epcot #AskNigelFarage
5112,"RT @CeltiCRab19671: #bbcqt what Ed the #redtory said!!! 
#VoteSNPgetScotland #VoteSNP #GE2015 #SNP Get all tories out of Scotland http://t.…"
5113,Think the only reason Ed Miliband will become prime minister is so people can carry on taking the piss out of him
5114,"RT @_cobibudge: Even if I was a Lab voter I'd be conceding that Miliband lost out to Cameron tonight, the PM was strong, buoyant &amp; clear."
5115,"RT @carlmaxim: REMINDER: Absolutely no jokes about Nigel Farage or he will report you to the police.
#AskNigelFarage #bbcqt"
5116,Liberal Democrat Problems on a train http://t.co/azwshzzstQ #liberaldemocrat #libdem #libdemproblems #onatrain #mponatrain
5117,"RT @NicolaSturgeon: If Miliband is going to let Tories in rather than work with SNP, we will definitely need lots of SNP MPs to protect Sco…"
5118,"RT @BBCPolitics: Ed Miliband ""didn't do himself too many favours"" on #bbcqt special, Lord Ashdown says http://t.co/jsd8Jb1lYA #bbcqt"
5119,The Tory party just want to crush  deprived people and turn them into slave labour. Now is the time for Trade Unions https://t.co/I2vL3uSKv9
5120,"I'm no great fan of Miliband but I want my politicians to be ""preoccupied with inequality"" and how to eradicate it. Shitty media"
5121,"RT @wordsonlife: ""I wouldn’t trust David Cameron with my daughter’s pocket money.""
  ~ Jeff Randall, Sky News presenter .. http://t.co/pB4h…"
5122,So...branch manager @JimForScotland says vote SNP get Tory....his gaffer says vote Labour and I'll give Tories power anyway? #UpTheCreek
5123,"RT @Rebel_Rock_On: ""Bizarre state of affairs where we have #BBC, an organisation which we are all charged £145 a year to have the benefit o…"
5124,"RT @HolyToryLane: Click here to watch it: http://t.co/jGCuy49Vn2
Tory Lane strips off her purple lingerie http://t.co/eFe7IjEPoL"
5125,RT @BuzzFeedUKPol: FYI audience reaction when Miliband fell over #bbcqt http://t.co/s0cQbUwqdo http://t.co/IrfSgVEwU6
5126,"RT @wallaceme: ""Can we have an EU referendum?"" No. ""Did you spend too much?"" No. Strangely Miliband didn't have a ""Hell yes"" for anyone thi…"
5127,"RT @Ed_Miliband: There’s no question the Tories will cut child benefit if they win, the only question is will David Cameron be honest about…"
5128,David Cameron needs to live in the real world as he hasn't got a clue how normal people struggle to live on a daily basis.
5129,RT @jakeblackhurst: Nothing as depressing as a young Tory. It's like you've bypassed the first 50 years of you're life
5130,"RT @SonyKapoor: This is hilarious - Apparently the message from the #Tory spin doctors was “Strong, Commanding Performance” #bbcqt http://t…"
5131,RT @Vaughan_Wms: Labour supporters applauding Tory candidate while she spoke in favour of Trident. Says it all. #llanellihustings
5132,"RT @FraserNelson: So no wonder #bbcqt audience bridled when Miliband did not accept that Labour vastly overspent, leading to depth of today…"
5133,Scots have democratic right to vote as they want-no one has the right to tell us that our votes are worthless-how dare they! #SNP
5134,RT @AntiRacismDay: Why is UKIP allowed a tax-payer funded platform to spew their racist bile? #AskNigelFarage http://t.co/VO9AwbJbMF
5135,"When Nigel Farage, inevitably, quotes Australian-style Points System, someone tell him they have more immigrants, per capita, than UK"
5136,RT @ruth_wishart: Home from a busy Hustings to catch up on leaders'debate. Did Miliband REALLY imply he'd rather have DC as PM than talk to…
5137,"RT @BBCPolitics: David Cameron says child benefit is ""key"" for UK families http://t.co/jsd8Jb1lYA #bbcqt http://t.co/c13CsAKr4Q"
5138,@Cheeky_rob123 @Rviver1979 just said I wouldn't vote Tory you melt! 😂
5139,I have been saying this for ages Miliband on welfare is following Cameron and this is dangerous and potential vote looser not winner
5140,Ed Miliband's Islamophobia pledge a truly cynical disguising of the fact he's said nothing about foreign policy this election.
5141,Farage behind that lectern looks like Captain Pike in the Star Trek pilot ‘The Cage’.
5142,RT @JohnRentoul: Question Time Special: my review for @IndyVoices http://t.co/QRf3blDmgu http://t.co/waDdCaFAGM
5143,"RT @DerekScott1984: Despite the huge poll leads, many seats are still VERY close. Campaign harder than ever to drive home an #SNPwin #GE15 …"
5144,This ukip thing on bbc1 should be worth watching
5145,RT @IndiScot: Milliband would deny the democratic wishes of the Labour &amp; SNP voters by throwing the towel in &amp; giving the Tories power #bbc…
5146,"RT @OwenJones84: One week to kick the Tories out. If not, five more years of David Cameron, George Osborne, IDS, and Michael Gove. It's up …"
5147,Just had the biggest rant about Tories and ukip with @Solace_Sowah
5148,"RT @georgeeaton: Two big announcements from Miliband: 1. Minority Labour government if he falls short of a majority. 2. No ""confidence and …"
5149,Every drinking I come up with while watching ed miliband gets me drunk far too quickly #GE2015 #votesnpgetsexy
5150,"@JimForScotland 
💥💥💥FACT💥💥💥

Torys stripped OUR country

Labour said they would stand up for OUR country

SNP saving OUR country

#OUR SNP"
5151,"RT @Tommy_Colc: Financial Times come out in support of Tories claiming Miliband is ""preoccupied w/ inequality"". The man who wrote it http:/…"
5152,@ukip (2) illegible communication. For a party devoted to England you are reticent to commit yourself to its written form. Please...
5153,RT @nja5: If you think Labour overspent when building schools &amp; hospitals. Have a look at the Tory record. http://t.co/GTT8uyzJ9l” #bbcnews…
5154,"RT @Tommy_Colc: Financial Times come out in support of Tories claiming Miliband is ""preoccupied w/ inequality"". The man who wrote it http:/…"
5155,@TheLastLeg #Isitok that I could see someone peeking round the corner and trying an upskirt short of Nicola Sturgeon during that interview?
5156,"@guardiannews so if snp agree with a labour policy, will he withdraw it so they can't support him?
What a plank."
5157,Fox Killed By York And Ainsty Foxhunt After Meeting At Home of David Cameron's Father In Law http://t.co/VALoFEmvvw
5158,"RT @NicolaSturgeon: If Miliband is going to let Tories in rather than work with SNP, we will definitely need lots of SNP MPs to protect Sco…"
5159,Farage looking more like a tortoise every day.
5160,RT @afneil: Miliband clearest yet on NOT dealing with SNP. Private polling showing Tory talk of Labour/SNP alliance having impact on Middle…
5161,"RT @OwenJones84: David Cameron *refuses* to rule out cutting child benefit. When we all march into the polling booths next week, let’s reme…"
5162,The only thing Farage likes about Europe is wine and cheese apparently
5163,"RT @guardian: Guardian front page, Friday 1 May 2015: Miliband hardens his line: I will not do deal with SNP http://t.co/gHMZXK3Tbc"
5164,RT @QuietNotStupid: Nick Clegg is 'distressed' by the increase in foodbank use. He could have stopped the increase in benefit sanctions but…
5165,"RT @rurallabouruk: Tonight's You Gov Poll 
Labour move ahead
LAB - 35% (+1)
CON - 34% (-1)
UKIP - 12% (-)
LDEM - 8% (-1) 
GRN - 5% (+1)"
5166,"RT @ToryHater2015: The fact that people clapped when a business man showed his support for zero-hour contracts, shows how Tory the audience…"
5167,"RT @AngrySalmond: Seriously, don't give No voters any shit if they join the #SNP. They've seen the light and no longer spout shite! #AskNic…"
5168,"RT @VintageViolet_: Says a lot that Ed Miliband would rather see a Tory in No10 than himself, when all he'd have to do is work with the SNP…"
5169,"RT @Tommy_Colc: Financial Times come out in support of Tories claiming Miliband is ""preoccupied w/ inequality"". The man who wrote it http:/…"
5170,Geeze Ed really IS willing to put the Tories back in office! #VoteSNP #GE15
5171,I just don't understand why you'd vote for ukip
5172,"Nigel Farage says ""I love Europe"""
5173,RT @CckrDm: @kdugdalemsp @Ed_Miliband bluff? You're boss just told scotland he'd rather have cameron as PM than work with the snp. You are …
